Tweet_ID,NER_Text,Start_Pos,Eng_Pos,NER_Label,Prob
,covid19,47,54,MISC,0.64
,antivax,184,191,MISC,0.9906
,jack,239,243,PER,0.9344
,mcmurray,9,17,PER,0.3219
,star trek tos s3e20,0,19,MISC,0.6988
,saskatchewan,12,24,LOC,0.9935
,mcmurray,9,17,PER,0.3219
,mcmurray,9,17,PER,0.3219
,mcmurray,9,17,PER,0.3219
,anti-antifa,68,79,MISC,0.8591
,"""i guess were talking about desantis now""",24,64,MISC,0.9084
,neo-nazi,28,36,MISC,0.9325
,neil erikson,37,49,PER,0.9863
,rukshan,74,81,PER,0.8659
,rukshan,105,112,PER,0.5491
,peterschorschfl,188,203,PER,0.8104
,ivor cummins,58,70,ORG,0.6599
,hse,110,113,ORG,0.4983
,kramer,0,6,PER,0.8054
,antivax,44,51,ORG,0.6178
,covid19,47,54,MISC,0.64
,muskrat,55,62,MISC,0.9739
,sun,163,166,ORG,0.5238
,the marching morons,176,195,MISC,0.4175
,bitcoin,0,7,ORG,0.5751
,shiba,12,17,MISC,0.4784
,shibaswap,74,83,LOC,0.6659
,andrew yang,0,11,PER,0.9904
,carson,637,643,LOC,0.538
,covid,705,710,ORG,0.8759
,fauci,762,767,PER,0.9997
,carson,623,629,LOC,0.551
,ian collin,46,56,PER,0.9884
,saskatchewan,12,24,LOC,0.9935
,saskatchewan,12,24,LOC,0.9935
,yadda yadda yadda’ &amp; beavis &amp,51,87,ORG,0.7065
,butthead,89,97,ORG,0.3439
,seinfeld,218,226,PER,0.2863
,cdc,106,109,ORG,0.9531
,vears,175,180,MISC,0.8775
,joe,242,245,PER,0.9736
,antivax/covid,0,13,ORG,0.696
,saskatchewan,12,24,LOC,0.9935
,gop,116,119,MISC,0.7748
,gop,142,145,MISC,0.9922
,democrats,245,254,MISC,0.9936
,saskatchewan,12,24,LOC,0.9935
,covid19,47,54,MISC,0.64
,christian,46,55,MISC,0.9931
,seanmccarthyfan,1,16,PER,0.4009
,mcmurray,9,17,PER,0.3219
,saskatchewan,12,24,LOC,0.9935
,annie,15,20,PER,0.7302
,bukan,193,198,MISC,0.3969
,nxivm,62,67,ORG,0.527
,scientologists,76,90,MISC,0.9708
,karnataka,15,24,LOC,0.9938
,blvd,31,35,LOC,0.527
,myanmar,2,9,LOC,0.9972
,aung san suu kyi,65,81,PER,0.9965
,covid-19,172,180,MISC,0.8722
,santa,89,94,ORG,0.5177
,karens,173,179,MISC,0.5129
,"""yalls""",227,234,MISC,0.8119
,covid-dead americans,110,130,MISC,0.8458
,austrians,12,21,MISC,0.9103
,vienna,25,31,LOC,0.9998
,covid-19,10,18,MISC,0.8479
,leon county,59,70,LOC,0.9617
,omicron,161,168,ORG,0.8163
,gettingvaccinated,197,214,MISC,0.9483
,omicron,9,16,ORG,0.5164
,jamieson,1,9,PER,0.6068
,sanders,13,20,PER,0.9972
,trump,147,152,PER,0.9687
,omicron,133,140,ORG,0.4273
,bulls,19,24,ORG,0.7889
,demar derozan,30,43,PER,0.9934
,covid-19,56,64,MISC,0.952
,denver,115,121,LOC,0.9873
,derozan,123,130,ORG,0.3001
,sweden,39,45,LOC,0.9998
,ron johnson,31,42,PER,0.9947
,fauci,54,59,PER,0.9994
,covid,74,79,PER,0.7648
,new jersey,0,10,LOC,0.9702
,nj spotlight news,122,139,ORG,0.6798
,mynjpbs,192,199,MISC,0.855
,covid,84,89,ORG,0.4381
,omicron,67,74,ORG,0.3693
,ros,0,3,PER,0.9976
,uw,12,14,ORG,0.4166
,spurs,34,39,ORG,0.9122
,covid,58,63,MISC,0.6833
,america,90,97,LOC,0.998
,america,181,188,LOC,0.9992
,americans,279,288,MISC,0.9993
,sweden,39,45,LOC,0.9998
,biden,0,5,PER,0.9978
,trump,22,27,PER,0.7421
,sixers,4,10,ORG,0.4747
,omicron,0,7,ORG,0.3369
,wisconsin,32,41,LOC,0.9993
,bbcrosatkins,50,62,MISC,0.5721
,dominic cummings,29,45,PER,0.9863
,westminster lobby,88,105,ORG,0.8022
,coronavirus,118,129,MISC,0.9233
,americans,24,33,MISC,0.9993
,benghazi,42,50,LOC,0.9996
,ron johnson,52,63,PER,0.9988
,omicron,38,45,MISC,0.5241
,covid,51,56,PER,0.757
,capublichealth,172,186,MISC,0.5824
,us,44,46,LOC,0.8662
,cdc,47,50,ORG,0.7507
,covid,51,56,PER,0.757
,spanish,69,76,MISC,0.9996
,covid-19,111,119,MISC,0.7792
,cuba,52,56,LOC,0.9986
,cuban socialis,125,139,MISC,0.8096
,omicron,44,51,ORG,0.7461
,bulls,19,24,ORG,0.5806
,dezi scopesi,27,39,PER,0.9894
,salt lake city utah,45,64,LOC,0.9087
,covid,82,87,ORG,0.6388
,dezi,101,105,PER,0.921
,tottenham,20,29,ORG,0.9416
,covid,37,42,PER,0.9398
,antonio conte,61,74,PER,0.9918
,european,77,85,MISC,0.9802
,welsh,0,5,MISC,0.9473
,omicron,50,57,MISC,0.6131
,dana white,31,41,PER,0.839
,joe rogan,86,95,PER,0.8764
,ireland,105,112,LOC,0.8887
,andrews,5,12,PER,0.9491
,sweden,39,45,LOC,0.9998
,opec,19,23,ORG,0.7725
,biden,30,35,PER,0.9679
,california,0,10,LOC,0.9989
,covid-19,59,67,MISC,0.7289
,pfizer covid,113,125,MISC,0.8308
,doug ford,13,22,PER,0.9817
,ontario,45,52,LOC,0.9995
,non-african,58,69,MISC,0.9979
,mario cristobal,20,35,PER,0.984
,oregon,44,50,LOC,0.9962
,utah,120,124,LOC,0.9995
,sweden,23,29,LOC,0.9985
,corona commission,32,49,ORG,0.9317
,swedish,71,78,MISC,0.9988
,covid,117,122,MISC,0.8379
,covid,151,156,PER,0.9651
,polish,37,43,MISC,0.9988
,polish,72,78,MISC,0.9996
,covid,114,119,MISC,0.8027
,poland,133,139,LOC,0.9984
,covid,10,15,ORG,0.3884
,boston,43,49,LOC,0.9975
,denmark,52,59,LOC,0.9876
,omicron,128,135,ORG,0.2914
,cdc,87,90,ORG,0.9716
,cnbc,108,112,ORG,0.4746
,potus,51,56,ORG,0.4347
,americans,89,98,MISC,0.9986
,alberta health,73,87,ORG,0.8323
